Country,L2016,L2017,L2018,L2019,L2020
IDA blend,60.56360982,60.87711838,61.07731953,61.33159605,61.00628794
Indonesia,69.798,69.936,70.338,70.518,68.808
IDA only,64.47164293,64.87272865,65.27719306,65.6417934,65.10590483
Isle of Man,80.314,80.457,80.596,80.737,80.588
India,70.117,70.467,70.71,70.91,70.15
Not classified,,,,,
Ireland,81.65365854,82.15609756,82.20487805,82.70243902,82.55609756
Iran,75.6,75.971,76.195,76.103,74.832
Iraq,68.988,70.413,71.514,71.576,69.123
Iceland,82.20487805,82.66097561,82.86097561,83.16341463,83.06341463
Israel,82.40731707,82.55121951,82.80243902,82.80487805,82.64878049
Italy,83.24390244,82.94634146,83.34634146,83.49756098,82.19512195
Jamaica,72.02,71.911,71.793,71.767,71.869
Jordan,75.215,75.502,75.774,76.044,75.184
Japan,83.98487805,84.0997561,84.21097561,84.35634146,84.56
Kazakhstan,72.41,72.95,73.15,73.18,71.37
Kenya,62.163,62.481,62.676,62.943,62.675
Kyrgyz Republic,70.95121951,71.2,71.4,71.6,71.8
Cambodia,70.224,70.515,70.561,70.692,70.416
Kiribati,66.332,66.597,66.855,67.15,67.266
St. Kitts and Nevis,71.74,71.84,71.467,71.572,71.627
"Korea, Rep.",82.27560976,82.62682927,82.62682927,83.22682927,83.42682927
Kuwait,79.701,79.781,79.722,79.685,76.92
Latin America & Caribbean (excluding high income),74.4717518,74.64282278,74.77198108,74.96199687,72.83630332
Lao PDR,67.167,67.434,67.634,68.138,68.497
Lebanon,79.505,79.654,79.729,79.236,77.804
Liberia,60.416,60.553,60.853,61.104,60.948
Libya,71.756,72.482,72.794,72.463,72.472
St. Lucia,73.112,73.127,73.357,73.445,73.416
Latin America & Caribbean,74.57923288,74.7334935,74.85149878,75.03834947,73.03847417
Least developed countries: UN classification,64.01958645,64.41446717,64.81849985,65.15557375,64.63474279
Low income,62.21424115,62.62371391,62.99520392,63.42399094,62.95453254
Liechtenstein,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659
Sri Lanka,75.331,75.403,75.748,76.008,76.393
Lower middle income,68.37477433,68.69523481,68.93248831,69.12996818,68.55190232
Low & middle income,70.72636818,70.96821906,71.2520319,71.45555988,70.76381967
Lesotho,52.264,53.064,53.733,54.173,54.693
Late-demographic dividend,76.25807071,76.40033641,76.77063412,76.99290643,76.72290889
Lithuania,74.67073171,75.4804878,75.6804878,76.28292683,74.97804878
Luxembourg,82.68536585,82.09512195,82.29512195,82.63902439,82.14390244
Latvia,74.5804878,74.62926829,74.78292683,75.38780488,75.18536585
"Macao SAR, China",84.231,84.563,84.928,84.978,85.184
St. Martin (French part),79.475,78.59,80.614,79.983,80.149
Morocco,73.284,73.66,73.986,74.27,73.92
Monaco,,,,,
Moldova,69.917,70.516,70.492,70.935,70.166
Madagascar,64.997,65.094,65.27,65.882,65.182
Maldives,79.872,79.943,80.013,80.116,79.875
Middle East & North Africa,73.15252184,73.60974285,73.81151713,73.95911501,72.94976833
Mexico,74.412,74.138,74.015,74.202,70.133
Marshall Islands,64.057,64.27,64.5,64.746,64.977
Middle income,71.62772079,71.86572275,72.15486592,72.34957597,71.64918695
North Macedonia,75.4,75.95365854,76.64878049,76.60243902,74.39512195
Mali,58.731,59.132,59.393,59.664,58.633
Malta,82.45365854,82.34634146,82.44878049,82.85853659,82.34878049
Myanmar,65.685,65.843,66.465,66.61,66.797
Middle East & North Africa (excluding high income),72.25648838,72.76700114,72.98437342,73.14391859,72.172697
Montenegro,76.44146341,76.48536585,76.84146341,76.68292683,75.93170732
Mongolia,69.865,70.237,71.199,71.822,72.141
Northern Mariana Islands,,,,,
Mozambique,59.038,59.771,60.526,61.166,61.172
Mauritania,64.768,65.083,65.31,65.687,64.532
Mauritius,74.39487805,74.51463415,74.41634146,74.23585366,74.17707317
Malawi,62.209,62.977,63.276,64.119,63.717
