Country,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,
Africa Eastern and Southern,88.46087523,92.7588915,93.01063825,89.05531493,80.45325063,88.46087523,92.7588915,93.01063825,89.05531493,80.45325063
Afghanistan,61.48645782,66.90921783,71.33431075,74.23410411,80.28805103,61.48645782,66.90921783,71.33431075,74.23410411,80.28805103
Africa Western and Central,62.63148032,59.98652377,58.75734069,60.39718351,64.23980039,62.63148032,59.98652377,58.75734069,60.39718351,64.23980039
Angola,94.1061554,112.851471,83.89920044,69.37934113,50.74262238,94.1061554,112.851471,83.89920044,69.37934113,50.74262238
Albania,274.4385986,295.9950867,350.8345642,,,274.4385986,295.9950867,350.8345642,,
Andorra,2796.619873,2910.015381,3188.003174,3061.790527,3336.917725,2796.619873,2910.015381,3188.003174,3061.790527,3336.917725
Arab World,348.3078629,354.3620093,368.9811155,277.236393,278.8411553,348.3078629,354.3620093,368.9811155,277.236393,278.8411553
United Arab Emirates,1375.905762,1726.240723,1914.931763,1947.130737,2191.813632,1375.905762,1726.240723,1914.931763,1947.130737,2191.813632
Argentina,1149.313354,1525.591064,1122.474976,958.5234985,863.7144165,1149.313354,1525.591064,1122.474976,958.5234985,863.7144165
Armenia,366.2273254,418.8600159,439.4309082,549.4743652,551.543396,366.2273254,418.8600159,439.4309082,549.4743652,551.543396
American Samoa,,,,,,,,,,
Antigua and Barbuda,812.5109253,785.4710083,849.8334961,801.5438232,830.3395386,812.5109253,785.4710083,849.8334961,801.5438232,830.3395386
Australia,5453.99707,5816.260742,5864.394531,5555.374023,5901.106445,5453.99707,5816.260742,5864.394531,5555.374023,5901.106445
Austria,4709.875977,4938.919922,5337.218262,5262.054199,5585.088379,4709.875977,4938.919922,5337.218262,5262.054199,5585.088379
Azerbaijan,153.2156372,151.614151,165.0249023,191.7555237,191.2273102,153.2156372,151.614151,165.0249023,191.7555237,191.2273102
Burundi,19.46626472,20.7039566,19.5513401,16.58985329,16.42022514,19.46626472,20.7039566,19.5513401,16.58985329,16.42022514
Belgium,4529.787109,4761.874023,5142.367188,4983.656738,5009.455078,4529.787109,4761.874023,5142.367188,4983.656738,5009.455078
Benin,25.93355942,28.52169609,29.65632439,27.17067146,32.12714767,25.93355942,28.52169609,29.65632439,27.17067146,32.12714767
Burkina Faso,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762
Bangladesh,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116
Bulgaria,562.3408203,624.5250244,689.9053955,697.8963623,856.7045288,562.3408203,624.5250244,689.9053955,697.8963623,856.7045288
Bahrain,1111.429932,1098.74333,1049.061303,1024.390545,1109.99743,1111.429932,1098.74333,1049.061303,1024.390545,1109.99743
"Bahamas, The",1692.256104,2067.88623,1920.341064,1921.127075,1850.996216,1692.256104,2067.88623,1920.341064,1921.127075,1850.996216
Bosnia and Herzegovina,449.4085693,469.7721252,527.8095093,543.9828491,591.4064331,449.4085693,469.7721252,527.8095093,543.9828491,591.4064331
Belarus,290.5529785,324.6889648,342.2110901,390.2497253,408.0947266,290.5529785,324.6889648,342.2110901,390.2497253,408.0947266
Belize,296.5607605,282.9595947,286.5994568,303.533905,277.990387,296.5607605,282.9595947,286.5994568,303.533905,277.990387
Bermuda,,,,,,,,,,
Bolivia,205.9224396,212.8791351,229.2254028,239.1754456,241.1182251,205.9224396,212.8791351,229.2254028,239.1754456,241.1182251
Brazil,795.9379883,937.3428955,863.2817383,850.4328613,700.7127075,795.9379883,937.3428955,863.2817383,850.4328613,700.7127075
Barbados,1158.155762,1180.755615,1193.492798,1171.256226,1199.712036,1158.155762,1180.755615,1193.492798,1171.256226,1199.712036
Brunei Darussalam,681.9734497,639.9196777,753.8118286,674.6516113,650.4782105,681.9734497,639.9196777,753.8118286,674.6516113,650.4782105
Bhutan,97.18308258,103.3909073,101.6993332,115.3208084,133.7031403,97.18308258,103.3909073,101.6993332,115.3208084,133.7031403
Botswana,369.842041,444.5560303,419.6544495,408.8959961,362.7345276,369.842041,444.5560303,419.6544495,408.8959961,362.7345276
Central African Rep,20.25914001,27.64416504,49.17564392,34.23019409,41.96052933,20.25914001,27.64416504,49.17564392,34.23019409,41.96052933
Canada,4668.236328,4900.668945,5052.677734,5083.725586,5619.416016,4668.236328,4900.668945,5052.677734,5083.725586,5619.416016
Central Europe and the Baltics,845.3210645,938.7953246,1053.573309,1089.93758,1181.129794,845.3210645,938.7953246,1053.573309,1089.93758,1181.129794
Switzerland,9439.424805,9606.349609,9870.574219,9666.980469,10309.7627,9439.424805,9606.349609,9870.574219,9666.980469,10309.7627
Channel Islands,,,,,,,,,,
Chile,1179.733765,1367.716431,1457.272705,1369.484009,1278.178833,1179.733765,1367.716431,1457.272705,1369.484009,1278.178833
China,398.7892151,440.588501,504.7997437,539.6194458,583.4321899,398.7892151,440.588501,504.7997437,539.6194458,583.4321899
Cote d'Ivoire,66.39353943,68.61872864,70.97071075,73.64801652,85.17427902,66.39353943,68.61872864,70.97071075,73.64801652,85.17427902
Cameroon,51.2496109,50.27867889,57.7002182,56.18640518,58.00534439,51.2496109,50.27867889,57.7002182,56.18640518,58.00534439
"Dem. Rep, Congo",19.91032028,18.74936485,17.87852287,19.85771751,21.25385666,19.91032028,18.74936485,17.87852287,19.85771751,21.25385666
"Congo, Rep.",54.67388153,52.68054199,47.67589569,58.90272522,80.80835724,54.67388153,52.68054199,47.67589569,58.90272522,80.80835724
